The Updated Zwicky Catalog (UZC) -- Falco et al. 1999, PASP 111, 438
#---------------------------------------------------------------------
ra2000 (hhmmss.s), dec2000 ([+/-]ddmmss): J2000 ra and dec
Zmag: Zwicky magnitude
cz: redshift km/s
cze: redshift error km/s
T: spectral type (A)bsorption, (E)mission
U: UZC class 0-4 (see Falco et al. 1999, PASP 111, 438)
Ne: No. of UZC neighbors
Zname: Zwicky name
C: spectral code, (F)AST, (Z)MACHINE
Ref: reference code (see Falco et al. 1999, PASP 111, 438)
Oname: other name
M: * if UZC multiple
N: NED (P)air, (T)riple, (G)roup
#---------------------------------------------------------------------
ra2000  	dec2000	Zmag	cz   	cze	T	U	Ne	Zname       	C	Ref 	Oname      	M	N
000335.0	+231203	14.0	 7317	 43	B	0	 0	000100+22560	Z	0668	00010+2256 	 	 
000344.3	+161113	15.4	 6442	 46	B	0	 0	000112+15550	F	    	00012+1555 	 	 
000348.9	+072843	14.0	 5262	 50	A	0	 0	000112+07110	Z	0620	N7816      	 	 
000358.8	+204505	12.7	 2366	 47	B	0	 0	000124+20280	Z	0658	N7817      	 	 
000408.9	+072246	15.1	 6230	 67	A	0	 0	000136+07050	Z	0651	N7818      	 	 
000413.0	+104726	15.2	 7948	 33	B	0	 0	000142+10300	F	    	00017+1030 	 	 
000414.7	+223519	15.4	 4444	  1	-	1	 0	000142+22190	 	0668	00017+2219 	 	 
000424.5	+312819	14.3	 4929	 36	E	0	 0	000148+31120	Z	2212	N7819      	 	 
000426.7	+472925	15.1	 5276	 49	B	0	 0	000154+47130	Z	2700	00019+4713 	 	 
000429.2	+055045	15.3	 3118	  1	-	1	 0	000154+05340	 	0651	00019+0534 	 	 
000430.8	+051201	13.9	 3053	 39	A	0	 0	000200+04550	Z	2700	N7820      	 	 
000433.7	+281806	15.2	 8789	 54	A	0	 0	000200+28020	Z	2700	00020+2802 	 	 
000444.6	+264957	14.6	 7561	 48	B	0	 0	000212+26330	Z	2212	00022+2633 	 	 
000447.2	-013415	15.1	 7134	 36	E	0	 0	000218-01510	Z	2779	00023-0151 	 	 
000448.7	-012953	15.0	 7211	   	-	0	 0	000218-01460	 	0512	00023-0146 	 	 
000452.2	+171133	15.3	 1034	  4	-	1	 0	000218+16550	 	0639	00023+1655 	 	 
000457.8	+050724	15.4	 5357	 21	A	0	 0	000230+04510	F	    	00025+0451 	 	 
000506.3	+065512	14.5	 6128	 45	A	0	 0	000236+06380	Z	2712	N7824      	 	 
000506.7	+051213	15.5	 8055	 21	A	0	 0	000236+04560	F	    	N7825      	 	 
000513.9	+064619	14.7	 6240	 45	B	0	 0	000242+06300	Z	0651	00027+0630 	 	 
000518.7	+325839	15.4	10458	 46	A	2	 0	000242+32420	Z	2700	00027+3242S	 	P
000528.0	+463236	15.3	 4971	 53	A	1	 0	000254+46160	Z	2779	00029+4616 	 	 
000527.1	+051036	15.5	 5835	 42	B	2	 1	000254+04540	Z	2700	00029+0454 	*	 
000527.7	+051320	14.6	 5299	 45	A	2	 1	000254+04570	Z	2700	N7827      	*	 
000529.2	+323134	15.0	10399	 56	B	1	 0	000248+32150	Z	2212	00028+3215 	 	 
000548.4	+272657	15.2	 7531	 20	-	0	 0	000312+27100	 	0624	00032+2710 	 	 
000613.3	+543157	15.5	 5567	 49	E	1	 0	000336+54160	Z	2700	00036+5416 	 	 
000621.8	+172614	14.5	 5576	 12	E	3	 0	000348+17090	Z	0650	00038+1709S	 	P
000637.8	+082208	15.4	 5210	 21	E	2	 0	000406+08050	Z	0651	N7834      	 	 
000640.1	+260916	14.9	 7559	 45	B	0	 0	000406+25530	Z	2700	00041+2553 	 	 
000640.4	+050649	15.3	 5371	  2	-	0	 0	000412+04500	 	0668	00042+0450 	 	 
000649.5	+083742	15.0	 5238	 63	B	0	 0	000412+08210	Z	0651	00042+0821 	 	 
000650.4	+191918	15.5	 7898	 42	B	0	 0	000418+19020	Z	0668	00043+1902 	 	 
000654.0	+082104	15.3	11596	 52	A	2	 0	000424+08040	Z	2700	N7838E     	 	 
000657.0	+030647	15.5	11648	 79	-	2	 0	000424+02500	 	    	00044+0250A	 	T
000715.9	+274229	13.4	 2216	 65	B	2	 1	000436+27260	Z	0668	N   1      	*	 
000717.1	+274041	14.8	 7521	 53	B	2	 1	000442+27240	Z	2212	N   2      	*	 
000716.8	+081806	14.6	 3900	 49	-	0	 0	000442+08020	 	0502	N   3      	 	 
000719.5	+323633	13.4	 5054	 42	B	0	 0	000442+32200	Z	0668	N7831      	 	 
000723.8	+470227	14.3	 5313	 54	A	2	 0	000454+46460	Z	2700	00049+4646 	 	 
000724.6	+465920	15.3	 5054	 57	A	2	 0	000454+46430	Z	2700	00049+4643 	 	 
000739.7	+253511	15.5	 7057	 37	E	0	 0	000506+25180	Z	2212	00051+2518 	 	 
000744.0	+405233	15.5	  270	 36	E	1	 0	000512+40360	Z	2700	00052+4036 	 	G
000748.9	+352144	14.6	 4982	 51	A	0	 0	000512+35050	Z	2700	N   5      	 	 
000754.2	+394305	15.4	13322	 43	B	0	 0	000518+39270	Z	2700	00053+3927 	 	 
000754.3	+202444	15.5	 7855	 54	B	0	 0	000518+20080	Z	0650	00053+2008 	 	 
000801.7	+330414	13.8	 4881	 40	B	0	 0	000524+32480	Z	2212	N7836      	 	 
000806.9	+094304	14.9	 6428	 31	B	0	 0	000530+09260	F	    	00055+0926 	 	 
000810.2	+270014	14.4	 8755	 36	E	0	 0	000536+26440	Z	2765	00056+2644 	 	 
000811.0	+273141	14.7	 4640	  2	-	0	 0	000536+27150	 	0668	00056+2715 	 	 
000814.7	+074649	15.4	11853	 55	B	0	 0	000536+07300	Z	2700	00056+0730 	 	 
000828.2	+101220	15.4	 6412	 53	B	0	 0	000554+09560	F	    	00059+0956 	 	 
000832.0	+180946	15.4	12616	 39	E	0	 0	000554+17520	Z	0650	00059+1752 	 	 
000838.2	-004407	15.5	11929	 47	B	0	 0	000606-01000	Z	2700	00061-0100 	 	 
000842.5	+372652	14.5	 4421	 51	A	0	 0	000606+37100	Z	0649	N  11      	 	 
000844.8	+043645	14.5	 3868	 57	A	0	 0	000612+04200	Z	0651	N  12      	 	 
000846.2	+154857	13.3	  813	 45	E	0	 0	000612+15320	Z	0651	N  14      	 	 
000847.8	+332559	14.2	 4811	  2	-	0	 0	000612+33100	 	0668	N  13      	 	 
000854.7	+234903	14.5	 4502	 35	E	0	 0	000618+23330	Z	2212	N   9      	 	 
000902.5	+213728	14.9	 6279	 47	A	0	 0	000630+21210	Z	0650	N  15      	 	 
000904.3	+274345	12.5	 3056	 42	A	0	 0	000624+27270	Z	2700	N  16      	 	 
000928.6	+472122	14.5	 5153	 10	-	0	 0	000654+47050	 	2212	00069+4705 	 	 
000932.9	+480807	15.0	 5372	 48	B	0	 0	000700+47510	Z	2700	00070+4751 	 	 
000932.7	+331831	14.5	 4971	 49	A	0	 0	000654+33030	Z	2700	N  20      	 	 
000942.1	+495031	15.2	 9960	 55	-	1	 0	000706+49340	 	4302	00071+4934 	 	P
000946.5	+282032	15.1	 8348	 52	A	0	 0	000712+28050	Z	2700	00072+2805 	 	 
000948.2	+274956	14.9	 8265	 49	A	0	 0	000712+27340	Z	0668	N  22      	 	 
000951.4	+264728	15.5	17315	 37	E	0	 0	000718+26310	Z	2212	00073+2631 	 	P
000951.9	+044030	15.3	 4041	 50	A	0	 0	000718+04250	Z	2700	00073+0425 	 	P
000953.4	+255526	12.5	 4564	 43	B	0	 0	000718+25390	Z	0668	N  23      	 	 
001002.1	+281236	14.7	 8168	  9	-	2	 0	000724+27560	 	2212	00074+2756W	 	 
001016.1	+320622	15.2	19379	 49	B	0	 0	000742+31500	Z	2700	00077+3150 	 	 
001025.8	+254955	13.9	 4527	 66	B	0	 0	000748+25330	Z	0658	N  26      	 	 
001032.9	+285946	14.5	 7023	 54	B	2	 0	000754+28440	Z	2212	N  27      	 	 
001038.8	+163522	15.2	10450	 45	B	0	 0	000800+16190	F	    	00080+1619 	 	 
001040.9	+325858	13.9	 4788	  2	-	0	 0	000800+32430	 	0668	N  21      	 	 
001039.4	-000311	15.3	11632	 44	B	0	 0	000806-00190	Z	2700	00081-0019 	 	 
001041.9	+355108	15.5	 6179	 19	E	2	 0	000806+35350	F	    	00081+3535 	 	 
001043.3	+283356	15.0	 8651	  9	-	1	 0	000812+28180	M	2212	00082+2818 	 	 
001046.9	+332110	13.5	 4765	  2	-	0	 0	000806+33050	 	0668	N  29      	 	 
001057.0	+253336	15.4	10231	 20	-	0	 0	000818+25170	 	0624	00083+2517 	 	 
001101.1	+300307	14.8	 6791	  9	-	0	 0	000824+29470	M	2212	00084+2947 	 	 
001114.2	+285423	15.1	 8046	  9	-	0	 0	000842+28380	M	2212	00087+2838 	 	 
001122.3	+062321	14.5	 6047	 42	A	0	 0	000848+06060	Z	2218	N  36      	 	 
001143.2	+205831	15.0	13900	 50	-	0	 0	000906+20420	 	0300	00091+2042 	 	 
001145.1	+282956	14.8	 8042	  3	-	0	 0	000912+28140	M	0662	00092+2814 	 	 
001151.4	+330623	15.4	14043	 44	A	0	 0	000912+32500	Z	2700	00092+3250 	 	 
001201.3	+262338	15.3	 4512	  4	-	1	 0	000924+26070	 	0668	00094+2607 	 	 
001206.1	-002455	15.1	 5439	 42	A	0	 0	000936-00400	Z	2700	I   3      	 	 
001209.4	+275436	15.3	 7419	 37	E	0	 0	000936+27380	Z	2212	00096+2738 	 	 
001209.0	+120245	15.4	 6342	 68	B	0	 0	000936+11460	F	    	00096+1146 	 	 
001215.7	+221919	14.9	 7629	 20	-	2	 0	000942+22030	 	0624	00097+2203 	 	 
001218.9	+310339	14.4	 4837	 48	B	1	 0	000942+30470	Z	2212	N  39      	 	 
001238.2	+053019	15.4	 8491	 39	B	0	 0	001006+05140	F	    	00101+0514 	 	 
001248.1	+220125	14.6	 5863	 42	B	0	 0	001012+21460	Z	2212	N  41      	 	 
001254.4	+332139	15.2	 4756	  9	-	1	 0	001012+33060	 	2212	00102+3306 	 	 
001256.4	+220601	15.0	 5966	 51	A	0	 0	001018+21500	Z	2700	N  42      	 	 
001300.8	+391444	15.4	 4647	 43	A	1	 0	001024+38580	Z	2700	00104+3858 	 	 
001300.8	+305454	13.9	 4785	 10	-	0	 0	001024+30390	M	2212	N  43      	 	 
001303.0	+142435	14.2	 2052	 35	E	0	 0	001024+14080	Z	0651	00104+1408 	 	 
001306.3	+183024	15.5	12419	 17	E	2	 0	001030+18140	Z	0650	00105+1814 	 	P
001317.3	+170148	15.2	  854	  2	-	1	 0	001042+16450	 	0656	00107+1645 	 	P
001323.7	+282208	15.5	 7312	 51	A	0	 0	001048+28060	Z	2700	00108+2806 	 	 
001326.9	+172911	14.2	 4997	 35	E	0	 0	001048+17130	Z	0650	I   4      	 	 
001342.4	+484145	15.1	 5194	 38	E	0	 0	001100+48250	Z	2700	00110+4825 	 	 
001345.5	+480905	15.2	 5234	 42	A	2	 1	001106+47530	F	    	I1534      	*	 
001344.9	+301143	14.7	 7099	 32	A	0	 0	001106+29550	F	    	00111+2955 	 	 
001357.3	+480930	15.2	 5188	 64	B	0	 1	001118+47530	F	    	I1535      	*	 
001356.9	+305258	14.2	 4812	 52	A	0	 0	001118+30370	Z	2700	00113+3037 	 	 
001355.9	+034250	15.5	11825	 59	B	0	 0	001118+03260	Z	2700	00113+0326 	 	 
001402.2	+481405	15.0	 1776	  8	-	0	 0	001124+47580	 	0908	N  48      	 	 
001400.9	+125746	15.3	 1687	 48	E	1	 0	001124+12420	Z	2700	00114+1242 	 	 
001412.7	+283242	15.3	 7140	 20	-	0	 0	001136+28160	M	2700	00116+2816 	 	 
001422.5	+481448	15.3	 4747	 34	A	2	 1	001142+47580	F	    	N  49      	*	 
001427.0	+283051	15.5	 7231	 35	A	2	 0	001148+28140	Z	2700	00118+2814 	 	 
001435.0	+481520	14.6	 5342	 60	B	2	 1	001154+47590	F	    	N  51      	*	 
001431.8	-004415	14.8	 3974	 41	B	0	 0	001200-01000	Z	0668	00120-0100 	 	 
001440.2	+183454	14.6	 5421	 62	B	0	 0	001200+18170	Z	0649	N  52      	 	 
001454.9	+261953	14.8	 7361	 38	E	0	 0	001218+26030	Z	2212	00123+2603 	 	 
001502.9	+165014	15.4	17010	  5	-	0	 0	001224+16330	 	0649	00124+1633 	 	 
001530.9	+171943	13.7	 5412	 41	A	0	 0	001254+17030	Z	2700	N  57      	 	 
001543.7	+294000	14.6	 6649	 28	A	0	 0	001306+29230	F	    	00131+2923 	 	 
001543.9	+272638	15.4	 7465	 47	A	0	 0	001306+27100	Z	2700	00131+2710 	 	 
001548.0	+195858	15.4	 7755	 50	A	2	 0	001312+19440	Z	2700	00132+1944 	 	P
001551.3	+160523	14.0	 4166	 36	E	0	 0	001312+15480	Z	0649	00132+1548 	 	 
001552.6	+194627	15.0	 6474	 21	A	0	 0	001312+19300	F	    	00132+1930 	 	 
001558.2	-001813	15.4	11712	 57	A	1	 0	001324-00340	Z	3542	N  60      	 	 
001614.8	+101957	14.7	 5254	 44	A	0	 0	001336+10030	Z	2700	00136+1003 	 	 
001624.1	+285836	15.2	 7329	 48	A	0	 0	001348+28420	Z	2700	00138+2842 	 	 
001624.8	+302224	14.8	 6249	 48	A	2	 0	001348+30060	Z	2700	00138+3006 	 	 
001634.0	+361153	15.5	10568	 42	B	0	 0	001400+35550	Z	2700	00140+3555 	 	 
001639.7	+013639	14.9	13407	 20	-	2	 0	001400+01200	 	3542	00140+0120N	 	P
001644.2	+070434	14.6	 3973	 41	B	0	 0	001412+06470	Z	0651	00142+0647 	 	 
001649.0	+293710	14.8	 6935	 32	A	0	 0	001412+29200	F	    	00142+2920 	 	 
001647.0	+004215	15.5	13485	 49	A	0	 0	001412+00260	Z	2700	00142+0026 	 	 
001648.1	+122053	15.3	 1167	 28	E	4	 0	001412+12040	F	    	00142+1204 	 	 
001653.8	+275053	15.1	 9164	 43	A	2	 1	001418+27350	Z	2700	00143+2735 	*	 
001656.2	+275323	14.7	 4453	 40	B	2	 1	001418+27370	Z	2700	00143+2737 	*	 
001657.3	+223122	15.1	 5395	 45	A	0	 0	001418+22150	Z	2761	00143+2215 	 	 
001702.7	+295632	14.8	 6929	 25	A	0	 0	001424+29400	F	    	00144+2940 	 	 
001705.0	+420941	15.5	 5071	 10	-	0	 0	001424+41530	 	2212	00144+4153 	 	 
001717.4	+301233	15.3	 6366	 53	B	0	 0	001442+29560	F	    	00147+2956 	 	 
001719.4	+064323	15.4	 5613	 40	B	1	 0	001442+06270	Z	0651	00147+0627 	 	 
001723.7	+180503	15.2	 5427	 39	B	0	 0	001448+17470	Z	0668	00148+1747 	 	 
001725.9	-005842	15.3	 5394	 44	B	0	 0	001454-01140	Z	2700	00149-0114 	 	 
001730.3	+261533	15.4	 7456	  9	-	4	 0	001454+25590	M	2212	00149+2559 	 	 
001735.9	+301217	15.5	 4820	 69	B	2	 0	001500+29560	F	    	00150+2956 	 	 
001741.8	+244001	15.4	 6047	 20	-	0	 0	001500+24230	 	0624	00150+2423 	 	 
001745.4	+112701	12.6	 1156	 36	E	0	 0	001506+11100	Z	0651	N  63      	 	 
001755.4	+002005	15.5	 5380	 75	B	2	 0	001518+00030	Z	2700	00153+0003 	 	P
001759.0	+292811	14.8	 6834	 44	A	0	 0	001524+29110	F	    	00154+2911 	 	 
001759.8	+243345	14.8	 5799	  5	-	0	 0	001518+24170	M	0668	00153+2417 	 	 
001818.4	+300418	14.5	 5735	 24	A	2	 3	001542+29480	F	    	N  68      	*	 
001818.6	+192335	14.8	 5374	 47	B	0	 0	001542+19060	Z	0649	00157+1906 	 	 
001824.1	+484355	14.4	 5210	 38	B	0	 0	001542+48270	Z	0930	00157+4827 	 	 
001822.6	+300446	14.5	 7140	 29	A	2	 3	001548+29490	F	    	N  70      	*	 
001823.6	+300348	14.8	 6698	 26	A	2	 4	001548+29470	F	    	N  71      	*	 
001826.9	+495955	15.5	 5283	 10	-	1	 0	001548+49430	 	2212	00158+4943 	 	 
001825.2	+183051	15.3	 5215	 40	B	0	 0	001548+18140	Z	0668	00158+1814 	 	 
001828.4	+300226	15.0	 6935	 29	A	2	 4	001554+29460	F	    	N  72      	*	 
001834.3	+300209	15.1	 6716	 37	A	2	 2	001600+29450	F	    	N  72A     	*	 
001859.8	+794145	15.4	10929	 55	A	0	 0	001600+79260	Z	2700	00160+7926 	 	P
001853.2	+480101	14.5	 5115	 59	B	0	 0	001606+47440	F	    	00161+4744 	 	 
001853.2	+103539	14.7	 5382	 48	A	1	 0	001612+10200	Z	2700	I   7      	 	 
001900.5	+232835	15.3	 4462	  1	-	0	 0	001624+23120	 	0668	00164+2312 	 	 
001900.1	+192352	15.4	 5450	 42	B	0	 0	001630+19070	Z	0649	00165+1907 	 	 
001908.3	+154458	15.3	11032	 52	B	0	 0	001630+15280	Z	2700	00165+1528 	 	 
001913.9	+040814	15.3	13048	 57	B	3	 1	001642+03510	F	    	00167+0351W	*	P
001914.5	+040756	15.3	12882	 42	A	3	 1	001642+03510	F	    	00167+0351E	*	P
001926.3	+062658	14.8	 5755	 47	A	0	 0	001648+06100	Z	2700	N  75      	 	 
001935.1	+471428	13.8	 5123	 37	A	0	 0	001654+46580	F	    	00169+4658 	 	 
001937.8	+295601	14.0	 7327	 21	A	0	 0	001700+29400	F	    	N  76      	 	 
001948.8	+234621	14.9	 5771	 45	A	0	 0	001712+23300	Z	0624	I1540      	 	 
001957.3	+195852	15.5	 7807	  5	-	0	 0	001718+19420	 	0649	00173+1942 	 	 
002002.0	+215959	15.5	 5924	 43	A	0	 0	001724+21440	Z	2700	I1541      	 	 
002002.3	+062804	14.8	10364	 37	E	2	 1	001730+06120	F	    	00175+0612E	*	P
002002.7	+062748	14.8	10134	 36	E	2	 1	001730+06120	F	    	00175+0612W	*	P
002020.1	+074202	15.0	 5696	 38	E	0	 0	001748+07250	Z	0651	I  13      	 	 
002027.6	+005000	14.5	 5442	 42	A	2	 0	001748+00330	Z	2700	N  78B     	 	P
002034.2	+472606	14.2	 5136	  9	-	0	 0	001754+47100	 	2212	00179+4710 	 	 
002041.1	+223532	15.0	 7320	 36	E	2	 0	001806+22200	Z	2212	I1542      	 	 
002048.7	+200153	15.1	 7718	 52	A	0	 0	001812+19450	Z	0649	00182+1945 	 	 
002051.8	+213210	15.3	 5866	 40	A	0	 0	001812+21150	Z	2324	00182+2115 	 	 
002055.5	+215157	14.2	 5581	 40	B	0	 0	001818+21360	Z	2700	I1543      	 	 
002103.0	+223400	14.9	 5498	 44	A	0	 0	001824+22180	Z	2700	N  79      	 	 
002106.4	+263047	15.5	11665	  9	-	0	 0	001830+26140	 	2212	00185+2614 	 	 
002108.3	+271247	14.5	 9224	 43	A	0	 0	001830+26570	Z	2700	00185+2657 	 	 
002111.0	+222127	13.7	 5684	 27	A	2	 0	001836+22050	Z	2700	N  80      	 	 
002112.2	+293845	15.3	 9275	 50	A	2	 0	001836+29220	Z	2700	00186+2922 	 	 
002113.3	+302827	15.2	 4679	 15	-	2	 1	001836+30110	 	3700	00186+3011 	*	 
002116.0	+303021	15.3	 4840	  9	-	2	 1	001842+30140	 	2212	00187+3014 	*	 
002117.5	+230528	14.6	 5714	  9	-	0	 0	001842+22500	 	2212	I1544      	 	 
002122.5	+222603	14.3	 6302	 44	A	1	 0	001848+22090	Z	2700	N  83      	 	 
002126.1	+293747	15.1	 9248	 45	B	2	 0	001848+29210	Z	    	00188+2921 	 	 
002125.7	+223044	14.9	 6204	 24	A	2	 2	001848+22140	F	    	N  85A     	*	 
002128.7	+223322	14.9	 5591	 23	A	2	 3	001854+22180	F	    	N  86      	*	 
002129.1	+223023	14.9	 5856	 51	B	2	 2	001854+22180	F	    	I1546      	*	 
002134.2	+380534	15.3	10912	 37	E	2	 0	001854+37490	Z	2754	00189+3749 	 	 
002133.6	+223534	14.9	 6611	 66	B	2	 1	001854+22180	F	    	00189+2218 	*	 
002151.5	+222400	14.5	 5122	 53	A	2	 1	001912+22080	Z	2700	N  91      	*	 
002201.2	+490800	14.8	 5145	 36	E	0	 0	001918+48510	Z	2218	00193+4851 	 	 
002203.4	+222429	14.7	 5380	 10	-	2	 1	001924+22080	 	2212	N  93      	*	 
002205.1	+234413	15.0	 4481	 20	-	1	 0	001924+23280	 	0624	00194+2328 	 	 
002216.0	+301450	15.2	 6441	 18	-	2	 0	001942+29580	M	2779	00197+2958 	 	 
002213.6	+102931	13.4	 5404	 30	A	0	 0	001948+10130	Z	0668	N  95      	 	 
002226.5	+293015	14.9	 7091	  9	-	0	 0	001948+29130	M	2212	00198+2913 	 	 
002223.1	-011813	15.0	 4863	 36	E	0	 0	001948-01340	Z	2700	00198-0134 	 	 
002230.0	+294442	13.5	 4730	 27	-	0	 0	001954+29280	M	2700	N  97      	 	 
002245.7	+295623	15.5	 9162	 42	E	0	 0	002012+29400	Z	2212	00202+2940 	 	 
002250.0	+240908	15.4	12475	 38	E	1	 0	002012+23530	Z	2212	00202+2353 	 	 
002249.8	+065752	14.9	12120	 48	A	0	 0	002018+06420	Z	2700	I1549      	 	 
002249.9	+064903	15.3	 7550	 37	B	0	 0	002018+06330	F	    	00203+0633 	 	 
002310.9	+272556	14.5	 3877	 41	B	0	 0	002036+27100	Z	2700	00206+2710 	 	 
002312.8	+295011	15.4	 8438	 48	B	0	 0	002036+29330	Z	2700	00206+2933 	 	 
002317.4	+245715	15.5	17974	  9	-	2	 0	002042+24400	M	2212	00207+2440 	 	 
002340.6	+303333	15.1	 6445	 45	A	0	 0	002106+30170	Z	2700	00211+3017 	 	 
002337.7	-003035	15.4	19027	 33	A	0	 0	002100-00470	F	    	00210-0047S	 	P
002349.6	+265520	14.7	 9326	 41	A	0	 0	002112+26400	Z	2700	00212+2640 	 	 
002348.2	+144102	15.1	 5400	110	-	0	 0	002112+14240	 	0526	00212+1424 	 	 
002353.5	+281959	15.3	 7217	  3	-	0	 0	002118+28030	 	0668	00213+2803 	 	 
002356.7	+241820	14.8	 5681	  2	-	0	 0	002118+24020	 	0668	00213+2402 	 	 
002359.4	+154614	14.0	 5304	 40	B	0	 0	002124+15300	Z	0620	N  99      	 	 
002402.2	+253945	15.2	 7348	 39	E	1	 0	002124+25230	Z	2212	00214+2523W	 	P
002402.7	+162910	14.6	  860	 50	B	0	 0	002130+16120	F	    	N 100      	 	 
002416.2	+141412	15.4	 5290	 51	A	0	 0	002136+13580	Z	0811	00216+1358 	 	 
002427.7	+381107	15.1	 5950	 47	A	0	 0	002148+37550	Z	2700	I1550      	 	 
002437.0	+291713	14.8	 4774	105	-	0	 0	002200+29000	 	0000	00220+2900 	 	 
002438.8	+331522	14.7	 4842	  9	-	0	 0	002200+32590	 	2212	00220+3259 	 	 
002437.8	+031918	15.4	 5694	 42	B	2	 2	002200+03010	F	    	00220+0301N	*	 
002440.8	+031712	15.4	13054	 52	A	2	 2	002200+03010	F	    	00220+0301W	*	 
002441.1	+031715	15.4	12736	 49	A	2	 2	002200+03010	F	    	00220+0301E	*	 
002442.7	+144928	14.6	 5279	  8	-	0	 0	002206+14330	 	2212	00221+1433 	 	 
002443.6	+210603	15.5	 5344	 35	E	0	 0	002212+20480	Z	2700	00222+2048 	 	 
002458.8	+433946	15.0	 5104	125	-	0	 0	002218+43230	 	0002	00223+4323 	 	 
002459.9	+063953	15.4	 8689	 21	A	0	 0	002224+06230	F	    	00224+0623 	 	 
002503.4	+312041	14.4	 6807	 45	B	0	 0	002224+31050	Z	2216	00224+3105 	 	 
002510.1	+062926	14.9	 8617	 32	B	2	 0	002242+06130	F	    	00227+0613 	 	P
002513.5	+300213	15.5	 4855	  9	-	1	 0	002236+29460	 	2212	00226+2946 	 	 
002516.8	+125302	14.1	 5124	 41	B	0	 0	002248+12370	Z	2700	N 105      	 	P
002515.1	-010642	15.3	11359	 55	B	0	 0	002236-01230	Z	2700	00226-0123 	 	 
002526.7	+482928	15.5	 5394	 42	E	0	 0	002242+48130	Z	2700	00227+4813 	 	 
002529.8	+455519	14.9	 5118	 65	B	4	 0	002248+45390	Z	5502	00228+4539 	 	 
002528.8	+201415	14.3	 4278	 44	E	0	 0	002248+19560	Z	2218	00228+1956 	 	 
002530.0	+244840	14.9	 4517	 43	B	0	 0	002254+24330	Z	0668	00229+2433 	 	 
002559.8	+291243	13.3	 4748	 43	A	0	 0	002318+28560	Z	2700	N 108      	 	 
002607.1	+254330	14.9	10220	 53	A	2	 0	002324+25270	Z	2748	00234+2527S	 	P
002610.0	+124823	15.2	 5276	 42	B	0	 0	002336+12310	Z	2700	00236+1231 	 	 
002610.3	+133914	14.8	 5271	  5	-	0	 0	002336+13220	 	0639	00236+1322E	 	P
002614.6	+214826	15.0	 5458	 19	-	2	 0	002336+21320	M	2700	N 109      	 	 
002626.4	+061656	15.3	11467	 38	E	0	 0	002354+06010	Z	2700	00239+0601 	 	 
002651.4	+490702	15.0	 5720	200	-	1	 0	002412+48500	 	2411	00242+4850 	 	 
002648.8	+314211	14.5	     	   	-	0	 0	002412+31250	X	    	N 112      	 	 
002658.2	-014710	15.0	 3690	 70	-	0	 0	002430-02030	 	5511	N 114      	 	 
002702.9	+113503	14.0	 2170	 39	E	0	 0	002430+11180	Z	0651	00245+1118 	 	 
002716.1	+394733	15.1	11001	 38	A	4	 1	002436+39310	F	    	00246+3931S	*	 
002711.1	+012001	15.5	 5413	 48	A	0	 0	002436+01030	Z	2700	N 117      	 	 
002714.3	+200419	15.2	 5557	 42	B	0	 0	002442+19470	Z	2700	00247+1947 	 	 
